id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
1379560,1,55,1885,136.83,152.29,0,0,177
1466964,1,55,1993,136.83,135.83,0,0,270
1346989,1,55,2539,134.86,135.86,0,0,189
1338232,1,55,2139,339.5,437.53,0,0,54
1448490,1,55,2631,243.5,242.5,0,0,40
1270037,1,55,1248,251.23,252.23,0,0,28
1191377,1,55,1778,183.36,184.36,0,0,190
1499955,1,55,1062,182.36,183.36,0,0,391
1025244,1,55,2707,193.06,192.06,0,0,472
1054194,1,55,1207,325.92,384.18,0,1,676
1469367,1,55,1230,323.01,390.0,0,1,823
1029333,1,55,2322,322.07,388.0,0,1,972
1446016,1,55,2290,311.43,310.43,0,0,162
1244647,1,55,1727,445.23,446.23,0,0,420
1378227,1,55,1109,264.84,297.79,1,0,756
1181556,1,55,2640,282.33,281.33,0,0,108
1313873,1,55,2306,243.5,340.53,0,0,28
1067069,1,55,2126,486.0,485.0,0,0,28
1058482,1,55,2826,306.58,305.58,0,0,188
1240935,1,55,1754,289.12,289.12,0,0,485
1044821,1,55,1971,259.99,320.13,1,1,798
1149039,1,55,1902,388.03,446.23,0,0,14
1263416,1,55,1311,196.94,320.13,0,0,176
1323882,1,55,1803,117.4,188.24,0,0,150
1338119,1,55,1558,583.03,610.13,1,0,162
1188372,1,55,2581,583.03,612.13,1,0,312
1440008,1,55,1962,582.03,612.13,1,0,231
1336534,1,55,1445,628.62,627.62,0,0,13
1242186,1,55,2444,627.62,626.62,0,0,15
1012819,1,55,2867,628.62,626.62,0,0,13
